question,answer/0,answer/1,answer/2,answer/3,answer/4,answer/5,answer/6,answer/7,answer/8,answer/9,answer/10,answer/11,answer/12,answer/13,answer/14,answer/15,answer/16,answer/17,answer/18,answer/19,answer/20,answer/21,answer/22
creating appropriation bills falls under which power of congress,raising revenue,,,,,,,,,,,,,,,,,,,,,,
who played the hobbits in the lord of the rings,Dominic Monaghan,Ian Holm,Sean Astin,Elijah Wood as Frodo Baggins,Billy Boyd,Elijah Wood,,,,,,,,,,,,,,,,,
when did the usa join world war one,April 1917,"April 6, 1917",in April 1917,,,,,,,,,,,,,,,,,,,,
when did they start 3 pointers in basketball,1961,1945,,,,,,,,,,,,,,,,,,,,,
through what process has the colorado river created the grand canyon in the usa,erosion,,,,,,,,,,,,,,,,,,,,,,
what is the rate limiting enzyme of kreb's cycle,Isocitrate dehydrogenase,,,,,,,,,,,,,,,,,,,,,,
term limits for house of representatives and senate,Unlimited six-year terms,Unlimited two-year terms,,,,,,,,,,,,,,,,,,,,,
what information is displayed in clear text from the ftp header,all transmissions,,,,,,,,,,,,,,,,,,,,,,
who has the most big ten championships in football,Michigan,,,,,,,,,,,,,,,,,,,,,,
what does ss stand for on naval ships,Single-screw Steamship,,,,,,,,,,,,,,,,,,,,,,
which hormone is released from the ruptured follicle or corpus luteum,estrogen,estradiol,inhibin A,progesterone,,,,,,,,,,,,,,,,,,,
where do the elves go on the boat in lord of the rings,Valinor,,,,,,,,,,,,,,,,,,,,,,
how many times has psg won champions league,46,,,,,,,,,,,,,,,,,,,,,,
when did ga state get a football team,2010,,,,,,,,,,,,,,,,,,,,,,
who has won the mens singles title in the australian open tennis tournament,Roger Federer,,,,,,,,,,,,,,,,,,,,,,
what is the longest english word in the dictionary,Methionylglutaminylarginyltyrosylglutamyl...serine,pneumonoultramicroscopicsilicovolcanoconiosis,Pneumonoultramicroscopicsilicovolcanoconiosis,,,,,,,,,,,,,,,,,,,,
in which city are the wimbledon game held,London,"Wimbledon, London",,,,,,,,,,,,,,,,,,,,,
who won the oscar for best actor when titanic was nominated,Jack Nicholson,,,,,,,,,,,,,,,,,,,,,,
when did australia 2 win the america's cup,1983,,,,,,,,,,,,,,,,,,,,,,
how many points did lebron james scored in his career,"31,038",,,,,,,,,,,,,,,,,,,,,,
where does sound travel fastest solid liquid or gas,solids,,,,,,,,,,,,,,,,,,,,,,
cat in the hat knows a lot about space movie,Space is the Place,,,,,,,,,,,,,,,,,,,,,,
who sang on the back in black album,Brian Johnson,Malcolm Young,Cliff Williams,,,,,,,,,,,,,,,,,,,,
where did the race in grease take place,Thunder Road,,,,,,,,,,,,,,,,,,,,,,
what year did bennie and the jets come out,in 1973,4 February 1974,1974,1973,,,,,,,,,,,,,,,,,,,
the witch and the hundred knight 2 us release,"March 27, 2018",March 2018,,,,,,,,,,,,,,,,,,,,,
who plays jack skellington in nightmare before christmas,Danny Elfman,Chris Sarandon,,,,,,,,,,,,,,,,,,,,,
when was the last time the denver nuggets made the playoffs,2012–13,2009–10,1994–95,,,,,,,,,,,,,,,,,,,,
who was the winner of the first indianapolis 500,Ray Harroun,,,,,,,,,,,,,,,,,,,,,,
when will the next episode of my next guest needs no introduction,"May 31, 2018",,,,,,,,,,,,,,,,,,,,,,
where does the last name hidalgo come from,Spanish,,,,,,,,,,,,,,,,,,,,,,
where in the bible is the book of revelation,last book,in the New Testament,,,,,,,,,,,,,,,,,,,,,
who has played in the most premier league derbies,Neville Southall,,,,,,,,,,,,,,,,,,,,,,
who has become the new chairman of sebi,Ajay Tyagi,,,,,,,,,,,,,,,,,,,,,,
who present the central budget in lok sabha,the Finance Minister of India,,,,,,,,,,,,,,,,,,,,,,
what is an example of a government monopoly in the united states,West Virginia American Water,State Bar of Arizona,,,,,,,,,,,,,,,,,,,,,
when did world war one begin and end,28 July 1914,11 November 1918,,,,,,,,,,,,,,,,,,,,,
who played ethel on the doris day show,Carol Worthington,,,,,,,,,,,,,,,,,,,,,,
who wrote somewhere there's a place for us,Stephen Sondheim,lyrics by Stephen Sondheim,Leonard Bernstein,,,,,,,,,,,,,,,,,,,,
where did the peanut butter jelly time song come from,Buckwheat Boyz,The Buckwheat Boyz,,,,,,,,,,,,,,,,,,,,,
who played the jewish man in coming to america,Eddie Murphy,,,,,,,,,,,,,,,,,,,,,,
who talks for belle in beauty and the beast,Julie Nathanson,Jodi Benson,Paige O'Hara,,,,,,,,,,,,,,,,,,,,
who has a ring of power in lotr,Sauron,,,,,,,,,,,,,,,,,,,,,,
who introduced the first chrismas tree to the uk,Charlotte of Mecklenburg-Strelitz,,,,,,,,,,,,,,,,,,,,,,
how many writes does a flash drive have,"up to 100,000",,,,,,,,,,,,,,,,,,,,,,
what is the inner core of the earth made from,some other elements,iron–nickel alloy,an iron–nickel alloy,,,,,,,,,,,,,,,,,,,,
how many episodes is season 4 of the flash,23 episodes,19,23,,,,,,,,,,,,,,,,,,,,
who plays in the new mary poppins movie,Meryl Streep,Nathanael Saleh,Emily Blunt,Colin Firth,Joel Dawson,Emily Mortimer,Lin-Manuel Miranda,Ben Whishaw,Pixie Davies,Julie Walters,,,,,,,,,,,,,
the old man and the sea page count,127,,,,,,,,,,,,,,,,,,,,,,
mount and blade with fire and sword time period,1648-51,,,,,,,,,,,,,,,,,,,,,,
nearest metro station to gandhi nagar in delhi,Shastri Park metro station,,,,,,,,,,,,,,,,,,,,,,
when was looking for a sunset bird in winter written,1923,,,,,,,,,,,,,,,,,,,,,,
where are the winter olympic games being played,Beijing,,,,,,,,,,,,,,,,,,,,,,
why was the plague that struck athens so devastating,close quarters and poor hygiene,,,,,,,,,,,,,,,,,,,,,,
baseball teams who have not won a world series,Washington Nationals,Tampa Bay Rays,San Diego Padres,Milwaukee Brewers,Seattle Mariners,Texas Rangers,Colorado Rockies,,,,,,,,,,,,,,,,
who wrote ain't living long like this,Rodney Crowell,,,,,,,,,,,,,,,,,,,,,,
what group of animals do octopus belong to,class Cephalopoda,,,,,,,,,,,,,,,,,,,,,,
where is the new football stadium in atlanta,Mercedes-Benz Stadium,,,,,,,,,,,,,,,,,,,,,,
when was the last god of war made,2018,"March 12, 2013",,,,,,,,,,,,,,,,,,,,,
what are the zords in the power rangers movie,animal-themed Ninja Zords,,,,,,,,,,,,,,,,,,,,,,
why the hole in the ozone layer over antarctica,bromine,chlorine,methyl bromide,CFCs,halons,,,,,,,,,,,,,,,,,,
where does the last name waller come from,Anglo-Saxon origin,,,,,,,,,,,,,,,,,,,,,,
who wrote the music phantom of the opera,Andrew Lloyd Webber,,,,,,,,,,,,,,,,,,,,,,
when's the last time michigan won a national championship in basketball,1989,,,,,,,,,,,,,,,,,,,,,,
who won the icc under 19 world cup 2018,West Indies,India,,,,,,,,,,,,,,,,,,,,,
in the honour of which god is anant chaturdashi celebrated,Ganesh,,,,,,,,,,,,,,,,,,,,,,
when did the us stop trading with japan,1939,1940,,,,,,,,,,,,,,,,,,,,,
what territory is spain and the united kingdom in a dispute over,Gibraltar,,,,,,,,,,,,,,,,,,,,,,
when was you'll never walk alone first released,1945,,,,,,,,,,,,,,,,,,,,,,
atlantic ocean's shape is similar to which english alphabet,S,,,,,,,,,,,,,,,,,,,,,,
where did the titanic sink at what ocean,North Atlantic Ocean,,,,,,,,,,,,,,,,,,,,,,
dogs name in the grinch who stole christmas,Max,,,,,,,,,,,,,,,,,,,,,,
how many gold medals won by india in 2018 commonwealth games,26,66,,,,,,,,,,,,,,,,,,,,,
civil war what did the north fight for,maintaining the republic,loyalty to the U.S. Constitution,,,,,,,,,,,,,,,,,,,,,
when does the next episode of rebels come out,"February 19, 2018",,,,,,,,,,,,,,,,,,,,,,
who dies in transformers revenge of the fallen,Ravage and the Decepticon Rampage,Jetfire,,,,,,,,,,,,,,,,,,,,,
perth is the capital of which australian state,Western Australia,,,,,,,,,,,,,,,,,,,,,,
who gets the golden boot if its a tie,shared,,,,,,,,,,,,,,,,,,,,,,
three movies made from agatha christie's novels,Alibi,Die Abenteurer G.m.b.H.,The Passing of Mr. Quinn,,,,,,,,,,,,,,,,,,,,
when does a cell have condensed visible chromosomes also known as sister chromatids,metaphase,,,,,,,,,,,,,,,,,,,,,,
is greenland part of europe or north america,North America,,,,,,,,,,,,,,,,,,,,,,
the boiling point of water is 100 degrees celsius express this in si units,100 °C,,,,,,,,,,,,,,,,,,,,,,
what's the nba record for most points in a half,59,,,,,,,,,,,,,,,,,,,,,,
where does the last name tavarez come from,Spanish,,,,,,,,,,,,,,,,,,,,,,
who owns and operates the panama canal today,Panama Canal Authority,Panamanian government,Panama,,,,,,,,,,,,,,,,,,,,
the vast interior rural area of australia is known as the,The Outback,Outback,,,,,,,,,,,,,,,,,,,,,
who sings god gave rock and roll to you,the British band Argent,Petra,Kiss,,,,,,,,,,,,,,,,,,,,
who shot first in the shot heard around the world,Americans acting under orders,,,,,,,,,,,,,,,,,,,,,,
who has won the 2017 mens singles mutua madrid open tennis,Rafael Nadal,,,,,,,,,,,,,,,,,,,,,,
method used by a writer to develop a character,Anthropomorphism,Personification,Hamartia,Pathetic fallacy,,,,,,,,,,,,,,,,,,,
when did linkin park release one more light,"May 19, 2017",,,,,,,,,,,,,,,,,,,,,,
created propaganda to support the war effort & encourage the sale of war bonds,the government,,,,,,,,,,,,,,,,,,,,,,
what us state forms the western boundary of montana,Idaho,,,,,,,,,,,,,,,,,,,,,,
where does the edinburgh fringe festival take place,"in Edinburgh, Scotland",,,,,,,,,,,,,,,,,,,,,,
first dynasty to issue gold coins in india,The Gupta Empire,,,,,,,,,,,,,,,,,,,,,,
how many games does a football team have to win to be bowl eligible,5,,,,,,,,,,,,,,,,,,,,,,
where does the journey start in the canterbury tales,London,,,,,,,,,,,,,,,,,,,,,,
when was the first time lebron went to the finals,2007,,,,,,,,,,,,,,,,,,,,,,
who has made the most premier league appearances,Gareth Barry,,,,,,,,,,,,,,,,,,,,,,
when was the last time it snowed in england on christmas day,2009,,,,,,,,,,,,,,,,,,,,,,
when was the first star wars film released,1977,"May 25, 1977",,,,,,,,,,,,,,,,,,,,,
when does the movie the star come out,"November 17, 2017",,,,,,,,,,,,,,,,,,,,,,
who carried florida by 537 votes in 2000,George W. Bush,Bush,,,,,,,,,,,,,,,,,,,,,
first who wants to be a millionaire winner uk,Judith Cynthia Aline Keppel,,,,,,,,,,,,,,,,,,,,,,
actor who played caesar in dawn of the planet of the apes,Andy Serkis,,,,,,,,,,,,,,,,,,,,,,
when does wentworth season 6 start in australia,2019,19 June 2018,,,,,,,,,,,,,,,,,,,,,
where is the north pole on the world map,latitude 90° North,,,,,,,,,,,,,,,,,,,,,,
who played sam in clarissa explains it all,Sean O'Neal,,,,,,,,,,,,,,,,,,,,,,
who did puss in boots grew up with,Humpty Dumpty,Kitty Softpaws,Humpty Alexander Dumpty,,,,,,,,,,,,,,,,,,,,
who commissioned the first christmas card in 1943,Sir Henry Cole,,,,,,,,,,,,,,,,,,,,,,
who can be called a man of god,beloved religious leaders,prophets,,,,,,,,,,,,,,,,,,,,,
what nfl player has the most nfl rings,Charles Haley,Neal Dahlen,Bill Belichick,Tom Brady,"""Mean Joe"" Greene",,,,,,,,,,,,,,,,,,
most passing yards by nfl qb in a game,Norm Van Brocklin,554,,,,,,,,,,,,,,,,,,,,,
who sings jungle book i wanna be like you,Louis Prima.,Louis Prima,,,,,,,,,,,,,,,,,,,,,
where was the new pete's dragon filmed,New Zealand,,,,,,,,,,,,,,,,,,,,,,
total goals scored by ronaldo in la liga,309,,,,,,,,,,,,,,,,,,,,,,
who's opening for foo fighters at fenway,N/A,,,,,,,,,,,,,,,,,,,,,,
when did the eagles last play in a superbowl,2017 season,,,,,,,,,,,,,,,,,,,,,,
when did south sudan join east african community,April 2016,2016,,,,,,,,,,,,,,,,,,,,,
when did the nfl start playing in london,since 2007,"October 28, 2007",2007,,,,,,,,,,,,,,,,,,,,
the world's tallest jain statue is located in which state of india,Maharashtra,,,,,,,,,,,,,,,,,,,,,,
who said beware of the ides of march,the soothsayer,a seer,a haruspex named Spurinna,,,,,,,,,,,,,,,,,,,,
where do the maple leafs play hockey in toronto,Air Canada Centre,the Air Canada Centre,,,,,,,,,,,,,,,,,,,,,
what kind of dog is nana in snow dogs,a Border Collie,Border Collie,,,,,,,,,,,,,,,,,,,,,
when did hyderabad became a part of india,24 November 1949,,,,,,,,,,,,,,,,,,,,,,
who made possible the first reproduction of the human voice on the phonograph,Thomas Alva Edison,Thomas Edison,,,,,,,,,,,,,,,,,,,,,
when does wonder woman come out on blue ray,"September 19, 2017",,,,,,,,,,,,,,,,,,,,,,
who sang i dreamed a dream in les miserables,Rose Laurens,Fantine,the character Fantine,,,,,,,,,,,,,,,,,,,,
what time is it in alaska time zone,UTC−09:00,,,,,,,,,,,,,,,,,,,,,,
when is winter big brother going to start,"February 7, 2018",,,,,,,,,,,,,,,,,,,,,,
where is the nfl game in london played,Twickenham Stadium,Wembley Stadium,,,,,,,,,,,,,,,,,,,,,
who is the quarterback for the green bay packers,Aaron Rodgers,,,,,,,,,,,,,,,,,,,,,,
who played the face in the a team,Dirk Benedict,,,,,,,,,,,,,,,,,,,,,,
where did the battle of bonhomme richard take place,near Flamborough Head,,,,,,,,,,,,,,,,,,,,,,
when was the last time that the eagles were at the super bowl,2017,2017 season,,,,,,,,,,,,,,,,,,,,,
who is the original singer of fool if you think it's over,Chris Rea,,,,,,,,,,,,,,,,,,,,,,
who stars in kevin probably save the world,J. August Richards,Kimberly Hebert Gregory,India de Beaufort,Jason Ritter,Chloe East,JoAnna Garcia Swisher,Dustin Ybarra,,,,,,,,,,,,,,,,
what is in a pat o brien hurricane,fruit juice,syrup or grenadine,rum,,,,,,,,,,,,,,,,,,,,
who did the us share the oregon country with,French Canadian,British,,,,,,,,,,,,,,,,,,,,,
who is eliminated in big boss kannada 5,Shruti,Niveditha,Diwakar,,,,,,,,,,,,,,,,,,,,
who won la liga in the last 10 years,Real Madrid,Barcelona,Atlético Madrid,,,,,,,,,,,,,,,,,,,,
who has played in the most masters tournaments,Gary Player,,,,,,,,,,,,,,,,,,,,,,
when did beryl markham fly across the atlantic,September 1936,4 September 1936,,,,,,,,,,,,,,,,,,,,,
what are some special products made in mississippi,farm-raised catfish,,,,,,,,,,,,,,,,,,,,,,
how many numbers are in the euromillions draw,7,,,,,,,,,,,,,,,,,,,,,,
where is the heart of palm on a palm tree,inner core and growing bud,the inner core,growing bud,the center core,,,,,,,,,,,,,,,,,,,
who enforces the charter of rights and freedoms,Supreme Court of Canada,the courts,courts,The courts,,,,,,,,,,,,,,,,,,,
who was the buccaneers qb when they won the superbowl,Brad Johnson,,,,,,,,,,,,,,,,,,,,,,
how many episodes in season 3 of good witch,10,,,,,,,,,,,,,,,,,,,,,,
when was theme from a summer place released,1960,1959,September 1959,,,,,,,,,,,,,,,,,,,,
what are the two extracellular fluid compartments in the body,transcellular,intravascular,interstitial,,,,,,,,,,,,,,,,,,,,
in 1945 which party came into power in england,Labour Party,Conservative,Labour,,,,,,,,,,,,,,,,,,,,
who is the best director in bollywood 2017,Nitesh Tiwari,,,,,,,,,,,,,,,,,,,,,,
what is the population of keystone heights florida,"1,350","1,461",,,,,,,,,,,,,,,,,,,,,
when did the term sustainability start to be used,1987,,,,,,,,,,,,,,,,,,,,,,
when did the cowboys start playing on thanksgiving day,In 1966,1966,1978,,,,,,,,,,,,,,,,,,,,
who played emma in h2o just add water,Claire Rhiannon Holt,,,,,,,,,,,,,,,,,,,,,,
what does fancy dress mean in the uk,A costume,guests dress up in costumes,costumes,,,,,,,,,,,,,,,,,,,,
when is the new tappan zee bridge going to be finished,"by June 15, 2018","June 15, 2018",,,,,,,,,,,,,,,,,,,,,
what are the 5 pillars of faith of islam,concern for the needy,the pilgrimage,life,self-purification,prayer,,,,,,,,,,,,,,,,,,
when does i'm a celebrity get me out of here start in the uk,2018,,,,,,,,,,,,,,,,,,,,,,
who plays meredith quill in guardians of the galaxy 2,Laura Jane Haddock,,,,,,,,,,,,,,,,,,,,,,
how many terms can a mayor serve in texas,two four-year terms,,,,,,,,,,,,,,,,,,,,,,
when was the first time the internet was used,1969,"November 22, 1977",,,,,,,,,,,,,,,,,,,,,
who wrote hallelujah i just love her so,Ray Charles,,,,,,,,,,,,,,,,,,,,,,
who was the oldest man elected president of usa,Ronald Reagan,Donald Trump,,,,,,,,,,,,,,,,,,,,,
where will the cricket world cup 2019 be held,England and Wales,,,,,,,,,,,,,,,,,,,,,,
who painted the ceiling of the florence cathedral,Giorgio Vasari,Federico Zuccari,Giorgio Vasari and Federico Zuccari,,,,,,,,,,,,,,,,,,,,
author of the hymn great is thy faithfulness,William M. Runyan,written by Thomas Chisholm,Thomas Chisholm,,,,,,,,,,,,,,,,,,,,
where does sleeping freshmen never lie take place,J.P. Zenger High,,,,,,,,,,,,,,,,,,,,,,
word that means separation of church and state,separationism,,,,,,,,,,,,,,,,,,,,,,
actor who plays dr avery on grey's anatomy,Jesse Wesley Williams,,,,,,,,,,,,,,,,,,,,,,
when does season 13 of america's got talent premiere,"May 29, 2018",,,,,,,,,,,,,,,,,,,,,,
which animal on earth has the longest life span,tortoise,,,,,,,,,,,,,,,,,,,,,,
where was held the first session of muslim league,"Dhaka, Bangladesh",Lucknow,,,,,,,,,,,,,,,,,,,,,
who does the democratic republic of congo trade with,Group of 77,WTO,Zimbabwe,Belgium,SADC,Kenya,South Africa,China,AU,Zambia,IMF,World Bank,African Development Bank,France,,,,,,,,,
what is the name of india 29 state,Rajasthan,,,,,,,,,,,,,,,,,,,,,,
when was the last time miss texas won miss america,1975,,,,,,,,,,,,,,,,,,,,,,
what new deal program limited production in industry,National Industrial Recovery Act,NIRA,,,,,,,,,,,,,,,,,,,,,
who beat university of virginia in basketball this year,Virginia Tech,UMBC,West Virginia,,,,,,,,,,,,,,,,,,,,
two atoms of the same element that are covalently bonded,shared pairs or bonding pairs,,,,,,,,,,,,,,,,,,,,,,
what is don quixote's horse's name,Rocinante,,,,,,,,,,,,,,,,,,,,,,
who played morticia in the addams family tv show,Carolyn Sue Jones,,,,,,,,,,,,,,,,,,,,,,
when was pac man released in the us,"October 26, 1980",October 1980,in October 1980,,,,,,,,,,,,,,,,,,,,
how much is the united states in debt to china,$1.06 trillion,"1,200.5",,,,,,,,,,,,,,,,,,,,,
which type of hematoma is a result of torn bridging meningeal veins,A subdural hematoma,subdural hematoma (SDH),subdural hematoma,,,,,,,,,,,,,,,,,,,,
who sang i'm gonna run away from you,Tami Lynn,,,,,,,,,,,,,,,,,,,,,,
what kind of sentence contains an independent clause and a dependent clause,A complex sentence,complex sentence,,,,,,,,,,,,,,,,,,,,,
where did remember the titans camp take place,Gettysburg College,,,,,,,,,,,,,,,,,,,,,,
criminal minds episode where jj becomes a profiler,season seven premiere,The season seven premiere,,,,,,,,,,,,,,,,,,,,,
